ID,Process ID,Process Name,Host Name,Kernel Name,Kernel Time,Context,Stream,Section Name,Metric Name,Metric Unit,Metric Value
0,21505,python3.6,127.0.0.1,"void at::native::reduce_kernel<512, 1, at::native::ReduceOp<float, at::native::MeanOps<float, float>, unsigned int, float, 4> >(at::native::ReduceOp<float, at::native::MeanOps<float, float>, unsigned int, float, 4>)",2022-Nov-19 20:59:52,1,7,Command line profiler metrics,dram__bytes.sum,byte,"505,984"
0,21505,python3.6,127.0.0.1,"void at::native::reduce_kernel<512, 1, at::native::ReduceOp<float, at::native::MeanOps<float, float>, unsigned int, float, 4> >(at::native::ReduceOp<float, at::native::MeanOps<float, float>, unsigned int, float, 4>)",2022-Nov-19 20:59:52,1,7,Command line profiler metrics,gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed,%,3.98
0,21505,python3.6,127.0.0.1,"void at::native::reduce_kernel<512, 1, at::native::ReduceOp<float, at::native::MeanOps<float, float>, unsigned int, float, 4> >(at::native::ReduceOp<float, at::native::MeanOps<float, float>, unsigned int, float, 4>)",2022-Nov-19 20:59:52,1,7,Command line profiler metrics,gpu__dram_throughput.avg.pct_of_peak_sustained_elapsed,%,3.52
0,21505,python3.6,127.0.0.1,"void at::native::reduce_kernel<512, 1, at::native::ReduceOp<float, at::native::MeanOps<float, float>, unsigned int, float, 4> >(at::native::ReduceOp<float, at::native::MeanOps<float, float>, unsigned int, float, 4>)",2022-Nov-19 20:59:52,1,7,Command line profiler metrics,gpu__time_duration.sum,nsecond,"8,256"
0,21505,python3.6,127.0.0.1,"void at::native::reduce_kernel<512, 1, at::native::ReduceOp<float, at::native::MeanOps<float, float>, unsigned int, float, 4> >(at::native::ReduceOp<float, at::native::MeanOps<float, float>, unsigned int, float, 4>)",2022-Nov-19 20:59:52,1,7,Command line profiler metrics,l1tex__t_bytes.sum,byte,"550,048"
0,21505,python3.6,127.0.0.1,"void at::native::reduce_kernel<512, 1, at::native::ReduceOp<float, at::native::MeanOps<float, float>, unsigned int, float, 4> >(at::native::ReduceOp<float, at::native::MeanOps<float, float>, unsigned int, float, 4>)",2022-Nov-19 20:59:52,1,7,Command line profiler metrics,l1tex__throughput.avg.pct_of_peak_sustained_elapsed,%,1.61
0,21505,python3.6,127.0.0.1,"void at::native::reduce_kernel<512, 1, at::native::ReduceOp<float, at::native::MeanOps<float, float>, unsigned int, float, 4> >(at::native::ReduceOp<float, at::native::MeanOps<float, float>, unsigned int, float, 4>)",2022-Nov-19 20:59:52,1,7,Command line profiler metrics,lts__t_bytes.sum,byte,"1,577,152"
0,21505,python3.6,127.0.0.1,"void at::native::reduce_kernel<512, 1, at::native::ReduceOp<float, at::native::MeanOps<float, float>, unsigned int, float, 4> >(at::native::ReduceOp<float, at::native::MeanOps<float, float>, unsigned int, float, 4>)",2022-Nov-19 20:59:52,1,7,Command line profiler metrics,lts__throughput.avg.pct_of_peak_sustained_elapsed,%,4.35
0,21505,python3.6,127.0.0.1,"void at::native::reduce_kernel<512, 1, at::native::ReduceOp<float, at::native::MeanOps<float, float>, unsigned int, float, 4> >(at::native::ReduceOp<float, at::native::MeanOps<float, float>, unsigned int, float, 4>)",2022-Nov-19 20:59:52,1,7,Command line profiler metrics,sm__cycles_elapsed.avg,cycle,"8,099.87"
0,21505,python3.6,127.0.0.1,"void at::native::reduce_kernel<512, 1, at::native::ReduceOp<float, at::native::MeanOps<float, float>, unsigned int, float, 4> >(at::native::ReduceOp<float, at::native::MeanOps<float, float>, unsigned int, float, 4>)",2022-Nov-19 20:59:52,1,7,Command line profiler metrics,sm__cycles_elapsed.avg.per_second,cycle/second,"981,088,949.90"
0,21505,python3.6,127.0.0.1,"void at::native::reduce_kernel<512, 1, at::native::ReduceOp<float, at::native::MeanOps<float, float>, unsigned int, float, 4> >(at::native::ReduceOp<float, at::native::MeanOps<float, float>, unsigned int, float, 4>)",2022-Nov-19 20:59:52,1,7,Command line profiler metrics,sm__inst_executed_pipe_tensor.sum,inst,0
0,21505,python3.6,127.0.0.1,"void at::native::reduce_kernel<512, 1, at::native::ReduceOp<float, at::native::MeanOps<float, float>, unsigned int, float, 4> >(at::native::ReduceOp<float, at::native::MeanOps<float, float>, unsigned int, float, 4>)",2022-Nov-19 20:59:52,1,7,Command line profiler metrics,sm__sass_thread_inst_executed_op_dadd_pred_on.sum,inst,0
0,21505,python3.6,127.0.0.1,"void at::native::reduce_kernel<512, 1, at::native::ReduceOp<float, at::native::MeanOps<float, float>, unsigned int, float, 4> >(at::native::ReduceOp<float, at::native::MeanOps<float, float>, unsigned int, float, 4>)",2022-Nov-19 20:59:52,1,7,Command line profiler metrics,sm__sass_thread_inst_executed_op_dfma_pred_on.sum,inst,0
0,21505,python3.6,127.0.0.1,"void at::native::reduce_kernel<512, 1, at::native::ReduceOp<float, at::native::MeanOps<float, float>, unsigned int, float, 4> >(at::native::ReduceOp<float, at::native::MeanOps<float, float>, unsigned int, float, 4>)",2022-Nov-19 20:59:52,1,7,Command line profiler metrics,sm__sass_thread_inst_executed_op_dmul_pred_on.sum,inst,0
0,21505,python3.6,127.0.0.1,"void at::native::reduce_kernel<512, 1, at::native::ReduceOp<float, at::native::MeanOps<float, float>, unsigned int, float, 4> >(at::native::ReduceOp<float, at::native::MeanOps<float, float>, unsigned int, float, 4>)",2022-Nov-19 20:59:52,1,7,Command line profiler metrics,sm__sass_thread_inst_executed_op_fadd_pred_on.sum,inst,"257,536"
0,21505,python3.6,127.0.0.1,"void at::native::reduce_kernel<512, 1, at::native::ReduceOp<float, at::native::MeanOps<float, float>, unsigned int, float, 4> >(at::native::ReduceOp<float, at::native::MeanOps<float, float>, unsigned int, float, 4>)",2022-Nov-19 20:59:52,1,7,Command line profiler metrics,sm__sass_thread_inst_executed_op_ffma_pred_on.sum,inst,0
0,21505,python3.6,127.0.0.1,"void at::native::reduce_kernel<512, 1, at::native::ReduceOp<float, at::native::MeanOps<float, float>, unsigned int, float, 4> >(at::native::ReduceOp<float, at::native::MeanOps<float, float>, unsigned int, float, 4>)",2022-Nov-19 20:59:52,1,7,Command line profiler metrics,sm__sass_thread_inst_executed_op_fmul_pred_on.sum,inst,512
0,21505,python3.6,127.0.0.1,"void at::native::reduce_kernel<512, 1, at::native::ReduceOp<float, at::native::MeanOps<float, float>, unsigned int, float, 4> >(at::native::ReduceOp<float, at::native::MeanOps<float, float>, unsigned int, float, 4>)",2022-Nov-19 20:59:52,1,7,Command line profiler metrics,sm__sass_thread_inst_executed_op_hadd_pred_on.sum,inst,0
0,21505,python3.6,127.0.0.1,"void at::native::reduce_kernel<512, 1, at::native::ReduceOp<float, at::native::MeanOps<float, float>, unsigned int, float, 4> >(at::native::ReduceOp<float, at::native::MeanOps<float, float>, unsigned int, float, 4>)",2022-Nov-19 20:59:52,1,7,Command line profiler metrics,sm__sass_thread_inst_executed_op_hfma_pred_on.sum,inst,0
0,21505,python3.6,127.0.0.1,"void at::native::reduce_kernel<512, 1, at::native::ReduceOp<float, at::native::MeanOps<float, float>, unsigned int, float, 4> >(at::native::ReduceOp<float, at::native::MeanOps<float, float>, unsigned int, float, 4>)",2022-Nov-19 20:59:52,1,7,Command line profiler metrics,sm__sass_thread_inst_executed_op_hmul_pred_on.sum,inst,0
0,21505,python3.6,127.0.0.1,"void at::native::reduce_kernel<512, 1, at::native::ReduceOp<float, at::native::MeanOps<float, float>, unsigned int, float, 4> >(at::native::ReduceOp<float, at::native::MeanOps<float, float>, unsigned int, float, 4>)",2022-Nov-19 20:59:52,1,7,Command line profiler metrics,sm__throughput.avg.pct_of_peak_sustained_elapsed,%,3.26
1,21505,python3.6,127.0.0.1,"void at::native::(anonymous namespace)::adaptive_average_pool<float>(float*, float*, int, int, int, int, long, long, long)",2022-Nov-19 20:59:53,1,7,Command line profiler metrics,dram__bytes.sum,byte,"327,808"
1,21505,python3.6,127.0.0.1,"void at::native::(anonymous namespace)::adaptive_average_pool<float>(float*, float*, int, int, int, int, long, long, long)",2022-Nov-19 20:59:53,1,7,Command line profiler metrics,gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed,%,2.03
1,21505,python3.6,127.0.0.1,"void at::native::(anonymous namespace)::adaptive_average_pool<float>(float*, float*, int, int, int, int, long, long, long)",2022-Nov-19 20:59:53,1,7,Command line profiler metrics,gpu__dram_throughput.avg.pct_of_peak_sustained_elapsed,%,1.75
1,21505,python3.6,127.0.0.1,"void at::native::(anonymous namespace)::adaptive_average_pool<float>(float*, float*, int, int, int, int, long, long, long)",2022-Nov-19 20:59:53,1,7,Command line profiler metrics,gpu__time_duration.sum,nsecond,"9,984"
1,21505,python3.6,127.0.0.1,"void at::native::(anonymous namespace)::adaptive_average_pool<float>(float*, float*, int, int, int, int, long, long, long)",2022-Nov-19 20:59:53,1,7,Command line profiler metrics,l1tex__t_bytes.sum,byte,"737,280"
1,21505,python3.6,127.0.0.1,"void at::native::(anonymous namespace)::adaptive_average_pool<float>(float*, float*, int, int, int, int, long, long, long)",2022-Nov-19 20:59:53,1,7,Command line profiler metrics,l1tex__throughput.avg.pct_of_peak_sustained_elapsed,%,1.38
1,21505,python3.6,127.0.0.1,"void at::native::(anonymous namespace)::adaptive_average_pool<float>(float*, float*, int, int, int, int, long, long, long)",2022-Nov-19 20:59:53,1,7,Command line profiler metrics,lts__t_bytes.sum,byte,"1,044,704"
1,21505,python3.6,127.0.0.1,"void at::native::(anonymous namespace)::adaptive_average_pool<float>(float*, float*, int, int, int, int, long, long, long)",2022-Nov-19 20:59:53,1,7,Command line profiler metrics,lts__throughput.avg.pct_of_peak_sustained_elapsed,%,2.77
1,21505,python3.6,127.0.0.1,"void at::native::(anonymous namespace)::adaptive_average_pool<float>(float*, float*, int, int, int, int, long, long, long)",2022-Nov-19 20:59:53,1,7,Command line profiler metrics,sm__cycles_elapsed.avg,cycle,"10,584.19"
1,21505,python3.6,127.0.0.1,"void at::native::(anonymous namespace)::adaptive_average_pool<float>(float*, float*, int, int, int, int, long, long, long)",2022-Nov-19 20:59:53,1,7,Command line profiler metrics,sm__cycles_elapsed.avg.per_second,cycle/second,"1,060,114,702.04"
1,21505,python3.6,127.0.0.1,"void at::native::(anonymous namespace)::adaptive_average_pool<float>(float*, float*, int, int, int, int, long, long, long)",2022-Nov-19 20:59:53,1,7,Command line profiler metrics,sm__inst_executed_pipe_tensor.sum,inst,0
